1,Palmeiras - SP,77,35,22,11,2
2,Internacional - RS,64,35,17,13,5
3,Flamengo - RJ,61,35,18,7,10
4,Fluminense - RJ,61,35,18,7,10
5,Corinthians - SP,61,35,17,10,8
6,Athletico Paranaense - PR,54,35,15,9,11
7,Atlético Mineiro - MG,52,35,13,13,9
8,São Paulo - SP,51,35,12,15,8
9,América Fc Saf - MG,49,35,14,7,14
10,Fortaleza - CE,48,35,13,9,13
11,Botafogo - RJ,47,35,13,8,14
12,Santos - SP,46,35,12,10,13
13,Red Bull Bragantino - SP,44,35,11,11,13
14,Goiás - GO,43,35,10,13,12
15,Coritiba - PR,38,35,11,5,19
16,Cuiabá Saf - MT,37,35,9,10,16
17,Ceará - CE,34,35,6,16,13
18,Atlético - GO,33,35,8,9,18
19,Avaí - SC,28,35,7,7,21,
20,Juventude - RS,21,35,3,12,20
